Open,High,Low,Close,Volume
1135.0,1135.0,1095.0,1095.0,85573625.0
1162.0,1162.0,1115.0,1162.0,128740310.0
1147.0,1147.0,1057.0,1057.0,180793589.0
1145.0,1145.0,1078.0,1145.0,179567029.0
1196.0,1196.0,1106.0,1106.0,182433622.0
1147.0,1147.0,1096.0,1147.0,231653897.0
1165.0,1165.0,1115.0,1115.0,201194660.0
1244.0,1244.0,1150.0,1244.0,229713140.0
1200.0,1200.0,1141.0,1141.0,335607869.0
1141.0,1141.0,1050.0,1141.0,383441401.0
1029.0,1029.0,972.0,972.0,296235333.0
1000.0,1000.0,960.0,1000.0,56962154.0
994.0,994.0,969.0,969.0,74141154.0
985.0,985.0,920.0,985.0,221824547.0
953.0,953.0,900.0,900.0,85560341.0
905.0,905.0,888.0,905.0,54937368.0
891.0,891.0,883.0,883.0,32463221.0
896.0,896.0,872.0,896.0,36680964.0
890.0,890.0,865.0,865.0,25457758.0
872.0,872.0,858.0,872.0,78516171.0
880.0,880.0,864.0,864.0,62957972.0
890.0,890.0,875.0,890.0,30744588.0
890.0,890.0,884.0,884.0,18177641.0
897.0,897.0,884.0,897.0,14133088.0
897.0,897.0,884.0,884.0,26645462.0
902.0,902.0,890.0,902.0,36037361.0
948.0,948.0,898.0,898.0,46533552.0
903.0,903.0,892.0,903.0,53276411.0
893.0,893.0,880.0,880.0,41512626.0
884.0,884.0,870.0,884.0,26834284.0
872.0,872.0,862.0,862.0,10100283.0
868.0,868.0,860.0,868.0,9745814.0
874.0,874.0,859.0,859.0,16186884.0
872.0,872.0,817.0,872.0,22063813.0
865.0,865.0,859.0,859.0,25112911.0
865.0,865.0,861.0,865.0,13128546.0
865.0,865.0,860.0,860.0,16732449.0
870.0,870.0,864.0,870.0,21356190.0
882.0,882.0,866.0,866.0,23575489.0
882.0,882.0,868.0,882.0,22719444.0
885.0,885.0,872.0,872.0,16443686.0
889.0,889.0,872.0,889.0,19501801.0
895.0,895.0,875.0,875.0,46554462.0
869.0,869.0,860.0,869.0,26539772.0
875.0,875.0,857.0,857.0,19158319.0
875.0,875.0,862.0,875.0,17694728.0
885.0,885.0,868.0,868.0,15400876.0
883.0,883.0,870.0,883.0,20496239.0
877.0,877.0,866.0,866.0,20511293.0
877.0,877.0,866.0,877.0,26921675.0
890.0,890.0,870.0,870.0,45326423.0
892.0,892.0,876.0,892.0,54378128.0
895.0,895.0,870.0,870.0,64108046.0
865.0,865.0,851.0,865.0,28905002.0
858.0,858.0,850.0,850.0,13408729.0
864.0,864.0,853.0,864.0,26877416.0
870.0,870.0,852.0,852.0,28459824.0
855.0,855.0,845.0,855.0,27216200.0
868.0,868.0,844.0,844.0,22754668.0
846.0,846.0,839.0,846.0,30535485.0
858.0,858.0,840.0,840.0,18533893.0
863.0,863.0,842.0,863.0,16851726.0
903.0,903.0,854.0,854.0,48599327.0
864.0,864.0,849.0,864.0,46996807.0
866.0,866.0,839.0,839.0,58383099.0
846.0,846.0,832.0,846.0,41228199.0
850.0,850.0,835.0,835.0,9801586.0
855.0,855.0,841.0,855.0,19440692.0
850.0,850.0,830.0,830.0,36884764.0
840.0,840.0,823.0,840.0,19393753.0
835.0,835.0,825.0,825.0,18913879.0
824.0,824.0,814.0,824.0,11472416.0
822.0,822.0,812.0,812.0,8322334.0
825.0,825.0,814.0,825.0,14104730.0
840.0,840.0,824.0,824.0,16999400.0
824.0,824.0,815.0,824.0,13631013.0
835.0,835.0,810.0,810.0,23880845.0
877.0,877.0,820.0,877.0,30028322.0
844.0,844.0,821.0,821.0,19932023.0
847.0,847.0,825.0,847.0,24910631.0
840.0,840.0,810.0,810.0,39607700.0
815.0,815.0,800.0,815.0,29733955.0
859.0,859.0,801.0,801.0,17436075.0
824.0,824.0,810.0,824.0,40021376.0
828.0,828.0,808.0,808.0,34937444.0
850.0,850.0,820.0,850.0,52644301.0
854.0,854.0,840.0,840.0,34949018.0
855.0,855.0,840.0,855.0,38537876.0
872.0,872.0,854.0,854.0,44557821.0
882.0,882.0,860.0,882.0,90909055.0
870.0,870.0,853.0,853.0,50327555.0
854.0,854.0,831.0,854.0,46772267.0
875.0,875.0,846.0,846.0,44171652.0
886.0,886.0,857.0,886.0,60373203.0
955.0,955.0,816.0,816.0,104333835.0
869.0,869.0,805.0,869.0,604099.0
790.0,790.0,774.0,774.0,30413146.0
765.0,765.0,744.0,765.0,32648768.0
760.0,760.0,742.0,742.0,22359330.0
769.0,769.0,741.0,769.0,21192710.0
770.0,770.0,746.0,746.0,20670172.0
